Name,Dataset,xsec [pb],xsec unc [pb],Ntuple List,Pileup File,Nevents,SumW,SumW2,Neff,Luminosity [/fb],TLatexName
TGJetsTuneCP513TeVamcatnlomadspinpythia8,/TGJets_TuneCP5_13TeV_amcatnlo_madspin_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,3.055,.01255,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//TGJetsTuneCP513TeVamcatnlomadspinpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/TGJetsTuneCP513TeVamcatnlomadspinpythia8.root,1909000,5919452.74006462097167968750,483056959.18273925781250000000,72537.86551619274541735649,23.74,t+jets
TTGJetsTuneCP513TeVamcatnloFXFXmadspinpythia8,/TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,4.115,.008572,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//TTGJetsTuneCP513TeVamcatnloFXFXmadspinpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/TTGJetsTuneCP513TeVamcatnloFXFXmadspinpythia8.root,7349100,52378711.10348129272460937500,2475099190.53955078125000000000,1108452.29449729179032146931,269.37,t#bar{t}+jets
WGJetsMonoPhotonPtG130TuneCP513TeVmadgraph,/WGJets_MonoPhoton_PtG-130_TuneCP5_13TeV-madgraph/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,0.7158,0.0002675,/hdfs/cms/user/wadud/anTGC/analysis_data/ntuples_CMSSW_10_6_18//WGJetsMonoPhotonPtG130TuneCP513TeVmadgraph.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WGJetsMonoPhotonPtG130TuneCP513TeVmadgraph.root,4917580,4903944,4917580,4890345.811,"6,832.00",W+#gamma (p_{T}^{#gamma}>130 GeV)
WGToLNuG01J5fPtG290TuneCP513TeVamcatnloFXFXpythia8,/WGToLNuG_01J_5f_PtG_290_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.07717,.0001238,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WGToLNuG01J5fPtG290TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WGToLNuG01J5fPtG290TuneCP513TeVamcatnloFXFXpythia8.root,4803607,580040.38899394869804382324,263443.18592934310436248779,1277113.51378239179030060768,"16,549.35",W(#rightarrowl#nu)+#gamma (p_{T}^{#gamma}>290 GeV)
WGToLNuG01J5fPtG490TuneCP513TeVamcatnloFXFXpythia8,/WGToLNuG_01J_5f_PtG_490_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.009687,.00001565,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WGToLNuG01J5fPtG490TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WGToLNuG01J5fPtG490TuneCP513TeVamcatnloFXFXpythia8.root,4945710,73413.04699699580669403076,3922.06166620657313615084,1374143.48066480760462582111,"141,854.39",W(#rightarrowl#nu)+#gamma (p_{T}^{#gamma}>490 GeV)
WGToLNuGPtG130TuneCP513TeVamcatnloFXFXpythia8,/WGToLNuG_PtG-130_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,1.126,.00195,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WGToLNuGPtG130TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WGToLNuGPtG130TuneCP513TeVamcatnloFXFXpythia8.root,2011805,3734874.89886734075844287872,25552788.25603402405977249146,545900.91579909482970833778,484.81,W(#rightarrowl#nu)+#gamma (p_{T}^{#gamma}>130 GeV)
WToENuM100TuneCP513TeVpythia8,/WToENu_M-100_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,174.,.06514,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WToENuM100TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WToENuM100TuneCP513TeVpythia8.root,1916817,1916817.00000000000000000000,1916817.00000000000000000000,1916817.00000000000000000000,11.02,W(#rightarrowe#nu)
WToMuNuM100TuneCP513TeVpythia8,/WToMuNu_M-100_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,174.2,.06537,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WToMuNuM100TuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WToMuNuM100TuneCP513TeVpythia8.root,1905408,1905408.00000000000000000000,1905408.00000000000000000000,1905408.00000000000000000000,10.94,W(#rightarrow#mu#nu)
WToTauNuM100TuneCP513TeVpythia8tauola,/ta/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,174.,.09011,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WToTauNuM100TuneCP513TeVpythia8tauola.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WToTauNuM100TuneCP513TeVpythia8tauola.root,1000000,1000000.00000000000000000000,1000000.00000000000000000000,1000000.00000000000000000000,5.75,W(#rightarrow#tau#nu)
WWTuneCP513TeVpythia8,/WW_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,75.9,.01276,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WWTuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WWTuneCP513TeVpythia8.root,7765828,7765891.02026236057281494141,7765973.66982221603393554688,7765808.37158210575580596924,102.32,WW
WZTuneCP513TeVpythia8,/WZ_TuneCP5_13TeV-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,27.57,.00638,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//WZTuneCP513TeVpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/WZTuneCP513TeVpythia8.root,3928630,3928630.00000000000000000000,3928630.00000000000000000000,3928630.00000000000000000000,142.50,WZ
ZGTo2LGPtG130TuneCP513TeVamcatnloFXFXpythia8,/ZGTo2LG_PtG-130_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,.1597,.0003007,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_ntupleLists//ZGTo2LGPtG130TuneCP513TeVamcatnloFXFXpythia8.txt,/hdfs/cms/user/wadud/anTGC/analysis_data/METv5_pileup/ZGTo2LGPtG130TuneCP513TeVamcatnloFXFXpythia8.root,2327487,682541.99039653455838561058,729319.89423857454676181078,638764.37806599878240376711,"3,999.78",Z(#rightarrowl#bar{l})+#gamma (p_{T}^{#gamma}>130 GeV)
